SAT,GPA
1607,2.4
1941,2.4
1896,2.4
1626,2.4
2054,2.4
1710,2.4
1727,2.4
1692,2.4
1766,2.4
1687,2.4
1773,2.4
2006,2.4
1825,2.4
2061,2.4
1824,2.4
1738,2.4
1994,2.4
2009,2.4
2030,2.4
2044,2.4
1612,2.4
1856,2.4
1734,2.4
1722,2.4
1720,2.4
2012,2.4
1996,2.4
1706,2.4
1804,2.4
1970,2.4
1674,2.4
1914,2.4
1819,2.4
2063,2.4
1969,2.4
1715,2.4
2017,2.4
1999,2.4
1706,2.4
1859,2.4
1997,2.4
1715,2.4
1722,2.4
1682,2.4
1603,2.4
1848,2.4
1608,2.4
1891,2.4
1807,2.4
1692,2.4
1780,2.4
1607,2.4
1671,2.4
1835,2.4
1638,2.4
1964,2.4
1728,2.4
2059,2.4
1684,2.4
1912,2.4
1857,2.4
2058,2.4
1908,2.4
2032,2.4
1832,2.4
1709,2.4
1694,2.4
2033,2.4
1701,2.4
1965,2.4
1863,2.4
1738,2.4
1805,2.4
1998,2.4
1826,2.4
2032,2.4
2072,2.4
1749,2.4
1862,2.4
1863,2.4
1871,2.4
1635,2.4
1784,2.4
1891,2.4
2059,2.4
1718,2.4
1922,2.4
1982,2.4
2062,2.4
1686,2.4
1937,2.4
1756,2.4
1820,2.4
1607,2.4
1961,2.4
1616,2.4
1786,2.4
1848,2.4
1934,2.4
1834,2.4
